police_station,folder,hobli_count,village_count,ward_count
Chitradurga Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chitradurga_Rural_PS,4,106,5
Turuvanur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Turuvanur_PS,6,55,0
Chitradurga Kote PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chitradurga_Kote_PS,1,25,20
Kelagote Extension PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kelagote_Extension_PS,1,6,10
Chikkajajur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkajajur_PS,5,91,0
Chitrahalli Gate PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chitrahalli_Gate_PS,4,94,0
Holalkere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Holalkere_PS,5,113,16
Hiriyur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hiriyur_Rural_PS,6,109,18
Hiriyur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hiriyur_Town_PS,1,4,30
Hosadurga PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosadurga_PS,6,167,23
Srirampura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Srirampura_PS,4,135,0
Davanagere Extention PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Davanagere_Extention_PS,1,4,16
K.T.J Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\K.T.J_Nagar_PS,1,5,16
Vidyanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vidyanagar_PS,2,14,16
Azad Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Azad_Nagar_PS,1,4,11
